29.4474 -100 86.5616  0.0241767 0.997881 0.0604097  
43.6046 -100 101.942  0.0846652 0.991901 -0.0946781  
74.7419 -100 115.396  -0.00994985 0.999089 0.0414884  
61.9812 -100 102.23  -0.0745107 0.995805 0.0531009  
35.0584 -100 48.5195  0.0352354 0.999034 0.0262693  
15.9292 -100 87.6098  0.0640432 0.996093 0.0608048  
28.9763 -100 114.652  0.00264041 0.999825 0.0185248  
40.9416 -100 82.7271  -0.029293 0.991626 0.125775  
22.9189 -100 76.2836  0.115257 0.99166 0.0576682  
63.3825 -100 118.243  -0.0568829 0.992894 -0.104528  
39.8008 -100 70.2514  -0.0444275 0.995476 0.0839924  
89.8575 -100 67.1901  -0.00811758 0.999894 -0.0121054  
23.476 -100 132.916  0.0543119 0.995586 -0.0765466  
84.4935 -100 139.83  -0.0531449 0.998316 0.0232728  
55.2117 -100 69.7397  -0.0542336 0.997341 0.0486697  
31.6409 -100 111.92  -0.00135225 0.999407 0.0343997  
68.705 -100 63.6972  -0.105172 0.994085 0.0271005  
56.4548 -100 86.0104  -0.0135289 0.999517 -0.027978  
88.8065 -100 89.2351  -0.0430776 0.997309 0.0593271  
74.9112 -100 101.842  -0.0440764 0.996371 0.0728101  
60.2487 -100 107.173  -0.0735539 0.995935 -0.0519892  
46.5931 -100 108.459  0.0348974 0.994752 0.0961816  
78.5793 -100 98.042  0.025754 0.998587 -0.0464823  
32.5555 -100 113.16  0.00869579 0.998652 0.0511796  
77.5276 -100 75.7031  0.00597661 0.999914 0.011668  
69.3571 -100 98.0812  -0.0988541 0.990416 0.0964582  
22.423 -100 133.605  0.0152197 0.999089 -0.0398755  
76.8928 -100 90.6265  -0.0104184 0.999563 -0.0276647  
72.3153 -100 78.9399  0.0178315 0.999831 -0.00456155  
37.9065 -100 118.773  -0.0199507 0.998685 0.0472318  
79.9518 -100 77.3018  -0.0130737 0.994767 0.101331  
20.826 -100 85.8643  0.0366763 0.99835 0.0441921  
-0.550808 -100 69.7554  -0.0427731 0.99826 -0.0405971  
86.8315 -100 133.175  -0.014935 0.999869 0.00618731  
81.2975 -100 83.7628  -0.0416999 0.999116 0.00526872  
61.1624 -100 120.416  -0.0230247 0.999122 0.0350022  
14.5353 -100 48.4216  -0.0121886 0.999842 0.0129675  
69.0454 -100 110.041  0.0390527 0.999235 0.00202635  
67.8231 -100 158.726  -0.0349192 0.999058 -0.0257506  
19.5136 -100 125.627  0.030461 0.999461 0.012233  
41.4327 -100 65.4844  0.0300346 0.989496 0.141404  
22.3115 -100 99.6332  0.0786782 0.995912 0.0443754  
49.4509 -100 153.512  0.0585267 0.998198 0.0132095  
51.4498 -100 56.7015  -0.0147447 0.999854 0.00863017  
31.2064 -100 122.796  -0.0444775 0.996399 -0.0721919  
8.82574 -100 90.497  0.00118734 0.994558 0.104174  
65.8209 -100 126.966  0.0108288 0.998553 -0.0526718  
22.6009 -100 82.4154  0.013436 0.996127 0.086891  
51.2984 -100 85.1998  -0.0781978 0.993487 -0.0828794  
70.1463 -100 89.9098  -0.0476871 0.998834 0.00748365  
43.6812 -100 111.427  0.0452483 0.998372 0.034736  
31.4225 -100 128.069  0.0675956 0.99606 -0.0574079  
18.3082 -100 113.782  0.0359334 0.996238 0.0788602  
89.7779 -100 115.81  0.00416477 0.999986 -0.00326566  
20.3529 -100 73.2494  0.0385096 0.999063 -0.0197597  
13.1081 -100 113.376  0.108865 0.993635 -0.0289313  
28.2105 -100 54.9538  -0.0520337 0.998205 0.0296441  
79.7261 -100 105.816  -0.0204239 0.998557 -0.0496764  
33.3251 -100 80.5705  -0.0185962 0.999152 -0.0367471  
49.1468 -100 110.657  -0.0283236 0.99926 -0.0260052  
60.662 -100 83.2023  -0.0222186 0.997225 0.0710551  
38.8423 -100 70.1009  0.0432163 0.999063 0.00239238  
22.6859 -100 108.453  -0.00791386 0.99888 -0.0466496  
19.419 -100 127.042  0.0485369 0.997182 -0.0572116  
30.7685 -100 128.403  -0.024823 0.998559 -0.0475824  
40.4112 -100 58.5227  0.0121044 0.999924 0.00215712  
58.2207 -100 38.5265  0.0194472 0.999592 0.0208963  
23.1392 -100 76.1188  0.0807083 0.987854 0.132779  
1.0615 -100 94.902  0.127191 0.985789 0.109737  
42.0797 -100 121.655  -0.0136514 0.99698 0.0764516  
62.9465 -100 73.0456  -0.105426 0.986938 0.121812  
35.574 -100 149.54  -0.059856 0.998204 -0.00248188  
91.3407 -100 62.1917  -0.0340986 0.999258 0.0178792  
45.3102 -100 118.364  0.0473389 0.998787 -0.0135463  
43.94 -100 143.507  0.00270466 0.999441 -0.0333098  
45.1135 -100 106.806  0.0940934 0.99189 -0.0854423  
38.2384 -100 147.622  0.073075 0.995944 -0.0524935  
46.9716 -100 53.9891  0.0350537 0.998567 -0.0404377  
78.6318 -100 123.027  -0.0651424 0.995581 0.0676445  
93.2302 -100 105.345  -0.029828 0.999245 0.0249052  
61.175 -100 76.2483  0.0300723 0.999388 -0.0178694  
69.0839 -100 73.1429  -0.0105618 0.99253 0.121541  
54.7609 -100 130.045  -0.0352746 0.999276 -0.0142748  
27.4167 -100 100.331  0.0283706 0.999003 0.0344734  
25.4971 -100 92.3367  -0.0291276 0.999552 0.00686671  
26.1673 -100 130.666  0.110419 0.991821 -0.0640213  
53.5237 -100 135.526  -0.0272146 0.997472 -0.0656404  
67.2187 -100 74.0023  -0.0167156 0.999312 -0.0331202  
39.7161 -100 56.2922  -0.0358679 0.993067 0.111943  
15.6193 -100 110.773  0.056194 0.993675 -0.0972186  
20.5873 -100 94.7437  0.0904316 0.995074 -0.0406263  
14.8539 -100 115.856  0.0319193 0.995362 -0.0907519  
40.2721 -100 89.6837  -0.000674682 0.998806 -0.0488443  
55.7807 -100 108.947  -0.0536192 0.998109 0.0300423  
67.0514 -100 127.773  -0.0267198 0.992071 -0.122804  
52.509 -100 99.1056  0.0277279 0.997515 -0.0647676  
67.2701 -100 147.1  0.0163527 0.999841 -0.00714552  
72.629 -100 94.7425  -0.0873673 0.995835 -0.0260748  
40.5917 -100 137.972  0.0471401 0.998747 -0.0167846  
57.3132 -100 123.305  -0.00305212 0.995288 -0.0969139  
28.6434 -100 115.658  0.0668354 0.994049 0.0860195  
90.1766 -100 80.018  0.0215596 0.999764 0.00283755  
-10.2449 -100 93.7428  -0.00352627 0.996746 0.0805273  
44.5424 -100 89.7561  -0.0634483 0.997972 -0.00505561  
72.7312 -100 75.3331  -0.0653357 0.997683 0.0189783  
78.113 -100 118.111  -0.0395251 0.991812 -0.121434  
54.9492 -100 95.3023  -0.0793826 0.996512 -0.0257533  
27.2661 -100 75.6329  -0.0432515 0.997522 0.0554951  
10.6363 -100 90.0784  0.0196637 0.999763 0.0093275  
74.4559 -100 101.845  -0.0366742 0.996421 0.0761643  
44.8476 -100 50.0568  0.0344216 0.998738 0.0365753  
72.812 -100 150.435  0.00110261 0.999953 0.00962472  
68.473 -100 131.844  -0.0203549 0.999751 -0.00915505  
26.3737 -100 59.3403  0.110217 0.989723 0.0911086  
81.475 -100 110.928  -0.0559341 0.996426 -0.063302  
39.2447 -100 100.121  -0.0235911 0.996639 -0.0784463  
45.1601 -100 136.672  0.0363955 0.999323 0.00531783  
47.9199 -100 123.006  0.0129853 0.999783 0.0163223  
30.7962 -100 96.7061  0.114731 0.989874 0.0835821  
84.4709 -100 127.354  -0.0506135 0.996257 -0.0700739  
41.8034 -100 120.947  0.0330023 0.99934 0.0151843  
59.915 -100 83.1269  -0.0435453 0.990312 0.131853  
59.6622 -100 105.21  0.00951641 0.999839 0.0151891  
29.5777 -100 124.673  0.102216 0.992583 0.0658169  
53.943 -100 90.7415  -0.0593197 0.997571 0.0365093  
58.1794 -100 126.029  -0.0173877 0.997735 -0.0649858  
58.5976 -100 123.246  -0.0321446 0.998893 -0.0343535  
22.9712 -100 137.942  0.0385344 0.99887 0.0277997  
88.2315 -100 71.7911  0.00961607 0.993453 0.113839  
